Genes	Proteins	N duplicates	Score	Raw DMSO	Raw 3nM	Raw 10nM	Raw 30nM	Raw 100nM	Raw 300nM	Raw 1000nM	Raw 3000nM	Raw 30000nM	Peptides	Name	Imputation N	Imputation Position	Ratio DMSO	Ratio 3nM	Ratio 10nM	Ratio 30nM	Ratio 100nM	Ratio 300nM	Ratio 1000nM	Ratio 3000nM	Ratio 30000nM	Signal Quality	pEC50	Curve Slope	Curve Front	Curve Back	Curve Fold Change	Curve AUC	Curve R2	pEC50 Error	Curve Slope Error	Curve Front Error	Curve Back Error	Null Model	Null RMSE	Curve F_Value	Curve P_Value	Curve Log P_Value	Curve F_Value SAM Corrected	Curve Relevance Score	Curve Regulation
AAK1	Q2M2I8	1	323.31	272340000	274440000	275780000	260700000	251480000	225100000	259970000	231240000	207180000	42	AAK1	0		1.0	1.0077109495483587	1.0126312697363589	0.9572593082176691	0.9234045678196372	0.826540353969303	0.9545788352794301	0.8490857016964088	0.7607402511566425	28.0208336532085	5.065341138852663	0.3002527342292102	1.0293449603670441	0.5922900980510356	-0.3658723192297481	0.9012507919704147	0.9829719990279859	4.871192724773731	0.3558308642448798	0.05496416785930093	0.7340546638764847	0.9077482332604607	0.08208517079221274	7.221391057892707	0.024123353332994063	1.6175623220381152	0.8077383783209657	0.1844697449548596	not
AARS	P49588	1	187.65	9770000	10649000	5900900	8319600	12988000	13271000	8865200	6948200	14429000	24	AARS	0		1.0	1.0899692937563972	0.6039815762538383	0.8515455475946776	1.3293756397134084	1.3583418628454453	0.9073899692937564	0.7111770726714431	1.4768679631525077	23.219927131517835	4.819663668368511	4.060114154054117	0.9810929982677711	1.5051219812977816	0.5876213513015419	1.0208218944208463	0.5045773928195327	7029.806334803187	37313.46626640448	0.13118205452417586	2806.5924206081995	1.0342528147389969	0.26557610527791603	0.954266368831118	0.5755049389025142	0.23995094496398128	0.45361096442251486	0.058716794381361674	
ABCE1	P61221	1	148.84	9574500	8627500	7177400	7539000	12440000	13589000	8553100	8287300	12848000	19	ABCE1	0		1.0	0.9010914408063084	0.7496370567653663	0.7874040419865267	1.2992845579403625	1.4192908245861402	0.8933208000417776	0.8655595592459137	1.3418977492297248	23.190765717839028	7.2928038693997435	10.0	0.8297668627031308	1.1465689553595446	0.4665451736139976	1.04914638165878	0.6874559916989813	15.216631468158472	649.6329378808709	0.14639962047411273	0.12678544217669596	1.0330161848178454	0.22745117835337633	1.4047116535370057	0.3930917946047251	0.40550602154516724	0.4928194240517226	0.07114830632485705	
ABCF1	Q8NE71	1	84.352	1529143	4202300	1529143	1529143	1529143	7783400	1529143	3499300	5823400	8	ABCF1	0		1.0	2.7481406251737086	1.0	1.0	1.0	5.090040630601585	1.0	2.2884059894986932	3.8082769237409453	20.544291898026863	6.853914880007553	10.0	1.3600764292649747	2.954741015148906	1.1193439570870756	2.289381622381288	0.0	30.58709193455537	2092.0091762413845	0.7759849223150634	0.8960309871086851	2.2162717940702734	1.2803019816758567	1.2022059348372813	0.4649798362449112	0.33256587979271207	0.7507960046270954	0.16304166166641634	
ABL1	P00519	1	323.31	319980000	349370000	348200000	342490000	339050000	294850000	286550000	279570000	309280000	71	ABL1	0		1.0	1.0918494905931622	1.088193012063254	1.0703481467591724	1.0595974748421777	0.9214638414900931	0.8955247202950184	0.873710856928558	0.9665604100256266	28.253406492953598	6.768771669079569	4.5638486271712475	1.0735147419833033	0.9111584068309301	-0.23656820434305859	0.9823560059580534	0.9892757657807915	0.31367799092400156	5.847757075009888	0.023168702495159645	0.026772937067794354	0.9889542375244604	0.08207780857015212	10.224204374961595	0.01123294769741236	1.949506263263219	0.47038837120047194	0.06395815432229342	not
ABL2	P42684	1	323.31	295400000	330930000	319570000	303300000	296190000	280090000	317670000	302120000	278260000	63	ABL2	0		1.0	1.1202775897088693	1.081821259309411	1.0267433987813135	1.0026743398781313	0.9481719702098849	1.0753893026404875	1.0227488151658768	0.941976980365606	28.1380945852016	7.628184982851174	2.983343847072494	1.0857943078550119	0.9981692855469744	-0.12114553233518671	1.0177754992384265	0.9796880036001697	0.6249441755268954	12.048282230646542	0.04674943650780519	0.029559209690888447	1.022808056872038	0.0529960462993943	0.8634118859332228	0.6229682125337219	0.20553411300921098	0.09112441403042715	-0.0	not
ACACA	Q13085	1	127.76	7505900	9113700	8621700	8992000	8872300	8276900	8008700	6567400	13087000	23	ACACA	0		1.0	1.214204825537244	1.1486563903062923	1.197990913814466	1.1820434591454723	1.1027191942338694	1.0669873033213872	0.8749650275116908	1.7435617314379355	22.839593638863594	4.861943729682646	3.5716040641357356	1.1101147616788865	1.7751168523870382	0.6455390140621683	1.1676913339814556	0.9179823490334863	481.4366779524104	2383.1599194887312	0.056835305335772655	224.28427616995435	1.182039616014889	0.20519949152364605	8.64406096586059	0.016325337265186337	1.7871378378693439	1.7320174662690155	0.5169323641919579	
ACADVL	P49748	1	68.259	1529143	6178500	4591400	4264600	6828800	6760200	1529143	5228200	5627900	15	ACADVL	0		1.0	4.040498501448197	3.0025968794285425	2.788882400141779	4.46576938847446	4.420907658734337	1.0	3.419039291943265	3.6804275335923453	20.544291898026863	10.522878745280337	3.7909180684791477	0.9999758002158116	3.347708099845041	2.64996040666432e-08	3.347708098083907	0.0	990647331.1026288	1878426689.4372885	1.3372126655070582	0.5486679511949769	3.2574372603578508	1.0100814474298525	1.3005195001728387	0.4282176069773273	0.368335479834921	9.56582930701452e-15	-0.0	
ACAT1	P24752	1	244.36	3793900	3033400	1529143	1529143	1529143	3813600	1529143	1529143	7603200	16	ACAT1	0		1.0	0.7995466406600068	0.4030530588576399	0.4030530588576399	0.4030530588576399	1.0051925459289912	0.4030530588576399	0.4030530588576399	2.0040591475790084	21.855250221872875	4.9462700693266255	2.861789414998553	0.5661846011044354	2.0650548047948196	1.8049278038107617	0.7282266461038831	0.23332020639923623	52.08091968272932	233.8061305738883	0.14085283617262734	49.53656487147812	0.7491346229879137	0.47521925780633884	6.670507387547082	0.028554353560349313	1.544327667344807	3.463910550911957	0.9862594480181963	
ACLY	P53396	1	200.0	30174000	24020000	26941000	24439000	37348000	29591000	23468000	23905000	37356000	43	ACLY	0		1.0	0.7960495791078412	0.8928547756346523	0.8099357062371578	1.237754358056605	0.9806787300324783	0.7777556837011997	0.7922383508981242	1.2380194869755419	24.84680262346203	4.86868662114697	3.552047285406226	0.9080053945621565	1.253248825813894	0.4425461111253912	0.9384584273960873	0.8145881094090743	1119.7940082799723	5583.577827657389	0.0768956581849765	262.1422123153566	0.9457339737216451	0.15922588678456212	1.2126880621106453	0.4608823614387284	0.33640991256632896	0.4326434683909877	0.05234840317605105	
ACO2	Q99798	1	85.241	7424800	7358500	1529143	6539400	9561200	8093200	1529143	1529143	7449200	19	ACO2	0		1.0	0.9910704665445534	0.20595073267966815	0.8807509966598427	1.2877383902596702	1.0900226268721043	0.20595073267966815	0.20595073267966815	1.0032862838056245	22.823920734241714	6.277428874086388	10.0	0.8883801297496641	0.48500150826813865	-0.8731878908953107	0.7114431266801597	0.0	19.385488952469217	772.3349484169671	0.2111152316354235	0.3338057352477914	0.7240085203020232	0.3786828751819876	0.7930756642002018	0.6623126330059346	0.17893696110524462	0.48684289911252415	0.06921329636089124	
ACOX3	O15254	1	323.31	195340000	253510000	285130000	240790000	200890000	206240000	250380000	293250000	184090000	41	ACOX3	0		1.0	1.2977884713832293	1.4596600798607555	1.2326712398894235	1.0284119995904577	1.0558001433398176	1.2817651274700521	1.5012286270093171	0.9424081089382615	27.54141216092363	4.783098709386703	5.448339538909618	1.2509855952289652	0.9308288071274071	-0.4083273252931208	1.2299185289068433	0.7830904573046285	426851.2776328396	2989918.2629623697	0.09319218004069663	84216.9376478804	1.2201053783934914	0.17262620636995862	0.6520525805917574	0.7473228749008579	0.1264917241653849	0.27644425998639177	0.013776936916262748	
ACP1	P24666	1	23.752	5056300	1529143	1529143	5181600	4905500	4917700	5695500	1529143	1529143	7	ACP1	0		1.0	0.30242331349010143	0.30242331349010143	1.0247809663192453	0.9701758202638293	0.9725886517809466	1.1264165496509306	0.30242331349010143	0.30242331349010143	22.269650633249064	5.691232590409782	10.0	0.7989173529533407	0.2995992065554753	-1.4150124627515586	0.6530722838816161	0.0	15.829596855693827	936.7528907663751	0.15827612481042905	0.3876949440413709	0.6620534245929299	0.34554423436008896	1.2531787540311834	0.4454591755328645	0.3511920910731481	0.8498161672554411	0.20038435377440422	
ACSL3	O95573	1	60.813	7810800	7814100	7939800	7172400	6720300	6627600	4592300	5861300	3808700	16	ACSL3	0		1.0	1.0004224919342448	1.0165155937932093	0.9182670149024428	0.8603856199108926	0.848517437394377	0.5879423362523685	0.7504096891483587	0.48761970604803606	22.897038889384778	6.19887908502962	0.4797403697904728	1.0441826662941114	0.457409747187886	-0.9002926099110081	0.7887767096112905	0.9557676074602444	0.8811782378470473	0.33498441054915973	0.07880644580717296	0.23536580096796209	0.8040095370906555	0.1706092533448072	15.524309119310091	0.004292842682961963	2.3672550265388206	3.2494011193473766	0.9371163954034262	
